date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:33	16828/16828	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Mar%202022%2021:57:32%20GMT	https://cuberto.com/projects/flipaclip/	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cuberto.com/projects/flipaclip/index.html	(from https://cuberto.com/)
22:57:33	56429/56429	---M--	200	added ('OK')	image/jpeg	etag:%22a7ef51372fad94a0f5b99dcbf034de2b%22	http://cdn.cuberto.com/cb/img/flipaclip/face.jpg	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.cuberto.com/cb/img/flipaclip/face.jpg	(from https://cuberto.com/)
22:57:33	71944/71944	---M--	200	added ('OK')	image/jpeg	etag:%22dd26c2cad93af51aae656dbe9096cf49%22	http://cdn.cuberto.com/cb/img/sleepiest/face.jpg	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.cuberto.com/cb/img/sleepiest/face.jpg	(from https://cuberto.com/)
22:57:34	16882/16882	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Mar%202022%2021:57:32%20GMT	https://cuberto.com/projects/nana/	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cuberto.com/projects/nana/index.html	(from https://cuberto.com/)
22:57:35	106927/106927	---M--	200	added ('OK')	image/jpeg	etag:%2269d45424a145f923f481df7afd92bc3a%22	http://cdn.cuberto.com/cb/img/riyadh/face.jpg	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.cuberto.com/cb/img/riyadh/face.jpg	(from https://cuberto.com/)
22:57:35	14499/14499	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Mar%202022%2021:57:33%20GMT	https://cuberto.com/tutorials/38/	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cuberto.com/tutorials/38/index.html	(from https://cuberto.com/)
22:57:36	14390/14390	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Mar%202022%2021:57:35%20GMT	https://cuberto.com/tutorials/37/	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cuberto.com/tutorials/37/index.html	(from https://cuberto.com/)
22:57:36	8286/8286	---M--	200	added ('OK')	image/jpeg	etag:%22e83cd38486ab1ef974cce43afc1192a2%22	https://cdn.cuberto.com/cb/upload/3a214a858281bfd09e74136e5b32dd4a.jpg	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.cuberto.com/cb/upload/3a214a858281bfd09e74136e5b32dd4a.jpg	(from https://cuberto.com/)
22:57:38	15165/15165	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Mar%202022%2021:57:36%20GMT	https://cuberto.com/tutorials/36/	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cuberto.com/tutorials/36/index.html	(from https://cuberto.com/)
22:57:42	62744/62744	---M--	200	added ('OK')	image/png	etag:%22142748422a5053f33cc98aa02bc27adc%22	https://cdn.cuberto.com/cb/upload/0ec33e34f07bee7de59578aa7ac2d57e.png	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.cuberto.com/cb/upload/0ec33e34f07bee7de59578aa7ac2d57e.png	(from https://cuberto.com/)
22:57:42	86972/86972	---M--	200	added ('OK')	image/jpeg	etag:%22489eae15f824c1c460661b577e95efd2%22	http://cdn.cuberto.com/cb/img/nana/face.jpg	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.cuberto.com/cb/img/nana/face.jpg	(from https://cuberto.com/)
22:57:42	23347/23347	---M--	200	added ('OK')	image/jpeg	etag:%2205ea67fddd3af3c54848a8bd23e98cee77e96a21%22	https://cdn.dribbble.com/users/1615584/screenshots/17627048/dashboard-tech01_1x.jpg	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.dribbble.com/users/1615584/screenshots/17627048/dashboard-tech01_1x.jpg	(from https://cuberto.com/)
22:57:43	187916/187916	---M--	200	added ('OK')	image/png	etag:%229e749297dc3834211e45c2204970edd5%22	https://cdn.cuberto.com/cb/upload/58ab187bb2e2254251c7aa88711210e9.png	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.cuberto.com/cb/upload/58ab187bb2e2254251c7aa88711210e9.png	(from https://cuberto.com/)
22:57:43	34998/34998	---M--	200	added ('OK')	image/jpeg	etag:%2202c66895452eabd5acf9775a6498bd02bab98f34%22	https://cdn.dribbble.com/users/1615584/screenshots/17578107/frame_1171273149_1x.jpg	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.dribbble.com/users/1615584/screenshots/17578107/frame_1171273149_1x.jpg	(from https://cuberto.com/)
22:57:44	33823/33823	---M--	200	added ('OK')	image/jpeg	etag:%2255bdb3f5c94eb7d28b62cf23d2b137caa9e9d9b4%22	https://cdn.dribbble.com/users/1615584/screenshots/17510164/group_26557_1x.jpg	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/cdn.dribbble.com/users/1615584/screenshots/17510164/group_26557_1x.jpg	(from https://cuberto.com/)
22:57:45	111603/111603	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Feb%202022%2013:58:30%20GMT	https://scontent.cdninstagram.com/v/t51.29350-15/273904340_292563022979683_2235870395097931464_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=1O5qb32ND8IAX9oOaDt&_nc_ht=scontent.cdninstagram.com&edm=ANo9K5cEAAAA&oh=00_AT9RMDhMOcSGOOUQvIAffHXO79KLlDjcUbuS5u0hD_H3YQ&oe=622A1850	C:/Mes%20Sites%20Web/Exercice%20Ecole%20241/scontent.cdninstagram.com/v/t51.29350-15/273904340_292563022979683_2235870395097931464_n171b.jpg	(from https://cuberto.com/)
